Site,county,PM25,DataCreationDate
麥寮,雲林縣,25,2016-11-30T16:00:00.0000000Z
關山,臺東縣,4,2016-11-30T16:00:00.0000000Z
馬公,澎湖縣,19,2016-11-30T16:00:00.0000000Z
金門,金門縣,20,2016-11-30T16:00:00.0000000Z
馬祖,連江縣,7,2016-11-30T16:00:00.0000000Z
埔里,南投縣,1,2016-11-30T16:00:00.0000000Z
復興,高雄市,,2016-11-30T16:00:00.0000000Z
永和,新北市,17,2016-11-30T16:00:00.0000000Z
竹山,南投縣,40,2016-11-30T16:00:00.0000000Z
中壢,桃園市,20,2016-11-30T16:00:00.0000000Z
三重,新北市,13,2016-11-30T16:00:00.0000000Z
冬山,宜蘭縣,12,2016-11-30T16:00:00.0000000Z
宜蘭,宜蘭縣,8,2016-11-30T16:00:00.0000000Z
陽明,臺北市,12,2016-11-30T16:00:00.0000000Z
花蓮,花蓮縣,13,2016-11-30T16:00:00.0000000Z
臺東,臺東縣,9,2016-11-30T16:00:00.0000000Z
恆春,屏東縣,7,2016-11-30T16:00:00.0000000Z
潮州,屏東縣,38,2016-11-30T16:00:00.0000000Z
屏東,屏東縣,5,2016-11-30T16:00:00.0000000Z
小港,高雄市,19,2016-11-30T16:00:00.0000000Z
前鎮,高雄市,14,2016-11-30T16:00:00.0000000Z
前金,高雄市,16,2016-11-30T16:00:00.0000000Z
左營,高雄市,21,2016-11-30T16:00:00.0000000Z
楠梓,高雄市,15,2016-11-30T16:00:00.0000000Z
林園,高雄市,32,2016-11-30T16:00:00.0000000Z
大寮,高雄市,31,2016-11-30T16:00:00.0000000Z
鳳山,高雄市,22,2016-11-30T16:00:00.0000000Z
仁武,高雄市,28,2016-11-30T16:00:00.0000000Z
橋頭,高雄市,19,2016-11-30T16:00:00.0000000Z
美濃,高雄市,24,2016-11-30T16:00:00.0000000Z
臺南,臺南市,9,2016-11-30T16:00:00.0000000Z
安南,臺南市,16,2016-11-30T16:00:00.0000000Z
善化,臺南市,16,2016-11-30T16:00:00.0000000Z
新營,臺南市,18,2016-11-30T16:00:00.0000000Z
嘉義,嘉義市,21,2016-11-30T16:00:00.0000000Z
臺西,雲林縣,23,2016-11-30T16:00:00.0000000Z
朴子,嘉義縣,26,2016-11-30T16:00:00.0000000Z
新港,嘉義縣,26,2016-11-30T16:00:00.0000000Z
崙背,雲林縣,19,2016-11-30T16:00:00.0000000Z
斗六,雲林縣,28,2016-11-30T16:00:00.0000000Z
南投,南投縣,,2016-11-30T16:00:00.0000000Z
二林,彰化縣,13,2016-11-30T16:00:00.0000000Z
線西,彰化縣,27,2016-11-30T16:00:00.0000000Z
彰化,彰化縣,12,2016-11-30T16:00:00.0000000Z
西屯,臺中市,21,2016-11-30T16:00:00.0000000Z
忠明,臺中市,31,2016-11-30T16:00:00.0000000Z
大里,臺中市,22,2016-11-30T16:00:00.0000000Z
沙鹿,臺中市,19,2016-11-30T16:00:00.0000000Z
豐原,臺中市,31,2016-11-30T16:00:00.0000000Z
三義,苗栗縣,25,2016-11-30T16:00:00.0000000Z
苗栗,苗栗縣,11,2016-11-30T16:00:00.0000000Z
頭份,苗栗縣,20,2016-11-30T16:00:00.0000000Z
新竹,新竹市,18,2016-11-30T16:00:00.0000000Z
竹東,新竹縣,25,2016-11-30T16:00:00.0000000Z
湖口,新竹縣,17,2016-11-30T16:00:00.0000000Z
龍潭,桃園市,12,2016-11-30T16:00:00.0000000Z
平鎮,桃園市,18,2016-11-30T16:00:00.0000000Z
觀音,桃園市,16,2016-11-30T16:00:00.0000000Z
大園,桃園市,13,2016-11-30T16:00:00.0000000Z
桃園,桃園市,15,2016-11-30T16:00:00.0000000Z
大同,臺北市,14,2016-11-30T16:00:00.0000000Z
松山,臺北市,13,2016-11-30T16:00:00.0000000Z
古亭,臺北市,26,2016-11-30T16:00:00.0000000Z
萬華,臺北市,19,2016-11-30T16:00:00.0000000Z
中山,臺北市,21,2016-11-30T16:00:00.0000000Z
士林,臺北市,25,2016-11-30T16:00:00.0000000Z
淡水,新北市,25,2016-11-30T16:00:00.0000000Z
林口,新北市,23,2016-11-30T16:00:00.0000000Z
菜寮,新北市,17,2016-11-30T16:00:00.0000000Z
新莊,新北市,11,2016-11-30T16:00:00.0000000Z
板橋,新北市,16,2016-11-30T16:00:00.0000000Z
土城,新北市,,2016-11-30T16:00:00.0000000Z
新店,新北市,19,2016-11-30T16:00:00.0000000Z
萬里,新北市,21,2016-11-30T16:00:00.0000000Z
汐止,新北市,19,2016-11-30T16:00:00.0000000Z
基隆,基隆市,19,2016-11-30T16:00:00.0000000Z
